iter	Passed	Remaining
548	4305	14515
549	4310	14497
550	4314	14479
551	4319	14462
552	4324	14443
553	4329	14425
554	4337	14420
555	4348	14423
556	4353	14405
557	4358	14387
558	4363	14369
559	4368	14352
560	4372	14334
561	4377	14317
562	4397	14348
563	4401	14329
564	4406	14312
565	4412	14297
566	4417	14280
567	4422	14262
568	4426	14244
569	4446	14274
570	4451	14259
571	4456	14241
572	4461	14224
573	4465	14206
574	4471	14191
575	4476	14175
576	4493	14197
577	4498	14181
578	4503	14164
579	4508	14146
580	4513	14129
581	4518	14115
582	4523	14098
583	4537	14109
584	4546	14107
585	4551	14090
586	4556	14073
587	4561	14056
588	4566	14039
589	4571	14023
590	4575	14006
591	4593	14027
592	4597	14010
593	4602	13992
594	4607	13977
595	4612	13961
596	4618	13949
597	4623	13932
598	4643	13960
599	4648	13944
600	4652	13927
601	4657	13911
602	4662	13894
603	4667	13877
604	4672	13862
605	4692	13891
606	4697	13876
607	4702	13860
608	4707	13843
609	4712	13828
610	4717	13813
611	4722	13796
612	4736	13806
613	4744	13800
614	4749	13783
615	4753	13768
616	4758	13751
617	4763	13736
618	4768	13720
619	4773	13704
620	4791	13727
621	4796	13710
622	4801	13695
623	4806	13680
624	4811	13664
625	4816	13649
626	4820	13632
627	4834	13642
628	4843	13636
629	4847	13620
630	4852	13603
631	4857	13588
632	4862	13573
633	4866	13556
634	4871	13541
635	4889	13561
636	4894	13545
637	4899	13530
638	4903	13514
639	4909	13500
640	4915	13487
641	4920	13472
642	4938	13493
643	4942	13477
644	4947	13462
645	4952	13446
646	4956	13430
647	4962	13415
648	4966	13399
649	4982	13415
650	4990	13408
651	4995	13392
652	5000	13377
653	5005	13363
654	5010	13347
655	5015	13333
656	5030	13344
657	5039	13342
658	5044	13326
659	5049	13311
660	5054	13296
661	5059	13281
662	5063	13266
663	5068	13251
664	5086	13269
665	5090	13254
666	5095	13240
667	5100	13224
668	5105	13211
669	5111	13197
670	5115	13181
671	5126	13181
672	5138	13187
673	5143	13172
674	5148	13157
675	5153	13142
676	5157	13126
677	5162	13112
678	5167	13097
679	5185	13115
680	5190	13101
681	5196	13090
682	5201	13077
683	5207	13064
684	5223	13076
685	5230	13068
686	5234	13052
687	5239	13038
688	5244	13024
689	5249	13009
690	5254	12994
691	5269	13007
692	5279	13005
693	5286	12996
694	5293	12985
695	5300	12976
696	5304	12961
697	5316	12962
698	5329	12968
699	5337	12962
700	5347	12960
701	5356	12955
702	5375	12976
703	5380	12962
704	5385	12948
705	5390	12933
706	5395	12919
707	5400	12905
708	5405	12892
709	5415	12889
710	5421	12878
711	5427	12866
712	5431	12851
713	5436	12836
714	5441	12823
715	5445	12808
716	5450	12793
717	5455	12779
718	5469	12787
719	5475	12775
720	5480	12763
721	5485	12749
722	5491	12736
723	5496	12724
724	5502	12711
725	5522	12732
726	5526	12718
727	5532	12705
728	5536	12691
